t,src,seq,t_gen
1.210922,319,1,1.210922
1.212754,130,1,1.212754
1.212973,356,1,1.212973
1.213472,316,1,1.213472
1.213917,36,1,1.213917
1.215892,211,1,1.215892
1.215997,390,1,1.215997
1.216303,208,1,1.216303
1.216639,235,1,1.216639
1.217078,186,1,1.217078
1.217380,190,1,1.217380
1.218907,379,1,1.218907
1.220333,146,1,1.220333
1.223572,39,1,1.223572
1.223758,82,1,1.223758
1.224071,220,1,1.224071
1.224542,44,1,1.224542
1.227430,141,1,1.227430
1.227949,329,1,1.227949
1.229130,263,1,1.229130
1.230110,124,1,1.230110
1.230503,155,1,1.230503
1.236595,256,1,1.236595
1.237334,188,1,1.237334
1.239877,257,1,1.239877
1.241446,375,1,1.241446
1.241853,262,1,1.241853
1.244755,53,1,1.244755
1.245512,17,1,1.245512
1.248839,35,1,1.248839
1.251355,128,1,1.251355
1.251967,65,1,1.251967
1.254195,258,1,1.254195
1.255314,111,1,1.255314
1.256226,110,1,1.256226
1.256537,10,1,1.256537
1.256880,307,1,1.256880
1.257027,335,1,1.257027
1.258806,187,1,1.258806
1.259821,73,1,1.259821
1.261185,9,1,1.261185
1.261503,193,1,1.261503
1.265044,113,1,1.265044
1.265430,284,1,1.265430
1.267734,378,1,1.267734
1.268137,0,1,1.268137
1.268640,302,1,1.268640
1.269434,371,1,1.269434
1.269537,137,1,1.269537
1.269559,157,1,1.269559
1.271065,165,1,1.271065
1.271229,151,1,1.271229
1.272295,12,1,1.272295
1.272324,162,1,1.272324
1.274181,118,1,1.274181
1.274260,72,1,1.274260
1.275540,332,1,1.275540
1.277681,70,1,1.277681
1.279033,126,1,1.279033
1.280789,282,1,1.280789
1.281392,174,1,1.281392
1.282032,224,1,1.282032
1.285922,363,1,1.285922
1.287606,359,1,1.287606
1.289506,343,1,1.289506
1.289840,328,1,1.289840
1.289956,93,1,1.289956
1.290053,176,1,1.290053
1.290076,14,1,1.290076
1.290444,179,1,1.290444
1.291702,237,1,1.291702
1.292716,340,1,1.292716
1.296040,210,1,1.296040
1.296390,212,1,1.296390
1.298106,241,1,1.298106
1.298651,196,1,1.298651
1.298968,177,1,1.298968
1.304297,347,1,1.304297
1.304494,342,1,1.304494
1.304589,2,1,1.304589
1.305493,394,1,1.305493
1.305874,80,1,1.305874
1.309591,250,1,1.309591
1.310846,163,1,1.310846
1.312679,273,1,1.312679
1.312764,182,1,1.312764
1.312818,103,1,1.312818
1.315563,59,1,1.315563
1.316531,206,1,1.316531
1.316707,300,1,1.316707
1.316965,32,1,1.316965
1.317528,122,1,1.317528
1.319514,117,1,1.319514
1.320012,25,1,1.320012
1.321176,330,1,1.321176
1.321839,360,1,1.321839
1.324299,148,1,1.324299
1.324539,197,1,1.324539
1.324916,11,1,1.324916
1.326154,215,1,1.326154
1.328510,214,1,1.328510
1.330804,272,1,1.330804
1.331933,200,1,1.331933
1.332839,286,1,1.332839
1.333642,145,1,1.333642
1.333797,325,1,1.333797
1.333857,362,1,1.333857
1.335897,275,1,1.335897
1.335954,81,1,1.335954
1.336021,222,1,1.336021
1.336919,397,1,1.336919
1.338557,116,1,1.338557
1.340058,63,1,1.340058
1.340135,1,1,1.340135
1.340349,167,1,1.340349
1.341059,289,1,1.341059
1.341786,30,1,1.341786
1.342546,147,1,1.342546
1.342739,369,1,1.342739
1.343181,345,1,1.343181
1.345447,134,1,1.345447
1.348039,83,1,1.348039
1.348571,48,1,1.348571
1.353959,78,1,1.353959
1.354304,99,1,1.354304
1.354536,79,1,1.354536
1.356463,315,1,1.356463
1.356964,281,1,1.356964
1.357604,192,1,1.357604
1.360264,299,1,1.360264
1.360715,374,1,1.360715
1.361092,354,1,1.361092
1.362074,138,1,1.362074
1.363439,383,1,1.363439
1.369113,38,1,1.369113
1.369195,69,1,1.369195
1.369341,43,1,1.369341
1.373292,373,1,1.373292
1.373418,341,1,1.373418
1.382497,245,1,1.382497
1.382635,229,1,1.382635
1.385337,298,1,1.385337
1.385545,15,1,1.385545
1.386133,393,1,1.386133
1.386517,372,1,1.386517
1.387342,364,1,1.387342
1.387902,279,1,1.387902
1.390466,243,1,1.390466
1.391045,385,1,1.391045
1.397767,64,1,1.397767
1.398160,294,1,1.398160
1.400918,28,1,1.400918
1.401346,349,1,1.401346
1.403335,154,1,1.403335
1.403511,24,1,1.403511
1.410859,216,1,1.410859
1.411280,37,1,1.411280
1.413412,156,1,1.413412
1.415760,23,1,1.415760
1.416658,278,1,1.416658
1.416909,143,1,1.416909
1.418182,350,1,1.418182
1.419756,8,1,1.419756
1.424170,297,1,1.424170
1.425927,337,1,1.425927
1.426970,34,1,1.426970
1.428151,121,1,1.428151
1.428378,267,1,1.428378
1.435541,233,1,1.435541
1.435551,324,1,1.435551
1.438875,389,1,1.438875
1.439246,185,1,1.439246
1.440053,159,1,1.440053
1.442476,312,1,1.442476
1.442981,67,1,1.442981
1.443632,158,1,1.443632
1.444022,98,1,1.444022
1.444617,109,1,1.444617
